cafeNumber,nickName,nameImg,date,revisit,reviewImg
37928687,참치대뱃살,C:\Users\djdj4\VScode\nameImg\\참치대뱃살.jpg,2024년 3월 16일 토요일,목포와서 반드시 먹어봐야하는 필수템!,C:\Users\djdj4\VScode\reviewImg\\참치대뱃살_review.jpg
37928687,dlt,C:\Users\djdj4\VScode\nameImg\\dlt.jpg,2024년 3월 15일 금요일,"목포 여행 와서 과일모찌 먹고 싶어서 왔는데 사장님께서 친절해서 너무 좋았어요!! 감사합니다 번창하세요!
",C:\Users\djdj4\VScode\reviewImg\\dlt_review.jpg
37928687,seo,C:\Users\djdj4\VScode\nameImg\\seo.jpg,2024년 3월 14일 목요일,사장님이 유쾌하고 맛있어용!!!,
37928687,kn,C:\Users\djdj4\VScode\nameImg\\kn.jpg,2024년 3월 14일 목요일,"어머니 모시고 처음 온 목포여행!!
친절하신 사장님과 맛있는 모찌 잘 먹고갑니다~ㅎㅎ",
37928687,Buddha,C:\Users\djdj4\VScode\nameImg\\Buddha.jpg,2024년 3월 14일 목요일,,C:\Users\djdj4\VScode\reviewImg\\Buddha_review.jpg
37928687,효재88,C:\Users\djdj4\VScode\nameImg\\효재88.jpg,2024년 3월 13일 수요일,진짜 맛있어요 무조건 여기로 오세요!!!,C:\Users\djdj4\VScode\reviewImg\\효재88_review.jpg
37928687,윤영330,C:\Users\djdj4\VScode\nameImg\\윤영330.jpg,2024년 3월 13일 수요일,너무 친절하시고 진짜 맛있어요!!!!!!,C:\Users\djdj4\VScode\reviewImg\\윤영330_review.jpg
37928687,잼콩,C:\Users\djdj4\VScode\nameImg\\잼콩.jpg,2024년 3월 11일 월요일,"사장님 완전 재밌으시구 친절하세요
딸기 완전 제철
맛잇어용 👍🏻❤️",C:\Users\djdj4\VScode\reviewImg\\잼콩_review.jpg
37928687,lee,C:\Users\djdj4\VScode\nameImg\\lee.jpg,2024년 3월 10일 일요일,"너뮤너무 맛있어요! 🤤🫰
사장님이 엄~~청 친절하시구 화이팅 넘치셔서 방문한 저희까지 기분이 조아졌어요😍🔥🔥
목포역 넘버원 맛집 ! 또 방문할거에요~😋",
37928687,ckd,C:\Users\djdj4\VScode\nameImg\\ckd.jpg,2024년 3월 10일 일요일,"모찌가 너무 맛나요! 오늘은  커피도 무료로 주셨습니다! 너무 맛있개 먹었습니다

",C:\Users\djdj4\VScode\reviewImg\\ckd_review.jpg
37928687,보영7757,C:\Users\djdj4\VScode\nameImg\\보영7757.jpg,2024년 3월 10일 일요일,"사장님께서 정말 유쾌하고 친절하세요 6년째 방문중입니다ㅠㅠ 제발 방문해서 드셔보세요 정말 맛잇어요
ㅠㅠ",
37928687,청룡미소,C:\Users\djdj4\VScode\nameImg\\청룡미소.jpg,2024년 3월 10일 일요일,모양도 예쁜고 맛은 더 예쁜맛^^사장님 서비스는 최고입니다  많이파세요 ,
37928687,ppp,C:\Users\djdj4\VScode\nameImg\\ppp.jpg,2024년 3월 10일 일요일,"그전에 있을때부터 많이 다녔는데
옮기고 나서도 다시 찾아왔어요!!!
딸기모찌 맛집 🫶",
37928687,wlsdk10520,C:\Users\djdj4\VScode\nameImg\\wlsdk10520.jpg,2024년 3월 10일 일요일,사장님 친절하시구 모찌가 맛있어욥,
37928687,gyo,C:\Users\djdj4\VScode\nameImg\\gyo.jpg,2024년 3월 10일 일요일,너무 맛있어요!,
37928687,mhb,C:\Users\djdj4\VScode\nameImg\\mhb.jpg,2024년 3월 9일 토요일,,C:\Users\djdj4\VScode\reviewImg\\mhb_review.jpg
